 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787706287278 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 402, BLOCO 21 ;140.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706287278
 8787709200645 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 203, BL 7 ;177.420,37;170.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709200645
 8555524080588 ;ES ;VIANA ;MARCILIO DE NORONHA ;AVENIDA BENJAMIM VITORIO, N. 6, Apto 308, TORRE B ;138.633,40;130.000,00;0.00;Apartamento, 0.00 de área total, 43.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524080588
 8444428176403 ;ES ;VIANA ;CAMPO VERDE ;RUA RONDON PACHECO, N. SN, CS 02  LT 02  QD I ;188.973,79;173.000,00;0.00;Casa, 0.00 de área total, 65.05 de área privativa, 250.25 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428176403
 8444419889257 ;ES ;VIANA ;PRIMAVERA ;RUA IRINEU GASPARIN, N. 0, CASA 01 LT 17 QD 19 ;183.941,62;168.000,00;0.00;Casa, 0.00 de área total, 59.49 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419889257
 8787707114571 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 101, BLOCO 7 ;148.033,29;130.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707114571
 8787706494079 ;ES ;VILA VELHA ;ATAIDE ;RUA UM, N. 150, Apto 305, TORRE B ;155.250,00;207.000,00;25.00;Apartamento, 0.00 de área total, 49.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706494079
 1555537466570 ;ES ;VILA VELHA ;SANTA PAULA I ;AVENIDA DOUTOR DORIO SILVA, N. SN, Apto 104, BL 7 TORRE 1 ;158.610,47;210.000,00;24.48;Apartamento, 0.00 de área total, 60.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537466570
 8444401341276 ;ES ;VILA VELHA ;COQUEIRAL DE ITAPARICA ;RUA C, N. SN, Apto 202, BL 202 MOD E ED ANGELICA ;196.000,00;196.000,00;0.00;Apartamento, 0.00 de área total, 46.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401341276
 1444403080943 ;ES ;VILA VELHA ;PRAIA DAS GAIVOTAS ;RUA ORMINDA MACHADO DUARTE ANTIGA RUA G, N. 240, Apto 1104, BLOCO 6A ;440.000,00;440.000,00;0.00;Apartamento, 0.00 de área total, 90.07 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403080943
 8555522220110 ;ES ;VILA VELHA ;ULISSES GUIMARAES ;RUA LINHARES, N. 950, Apto 409, BL 03 ;138.000,00;138.000,00;0.00;Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555522220110
 8787701214361 ;ES ;VILA VELHA ;ULISSES GUIMARAES ;AVENIDA LINHARES, N. 950, Apto 404, BL 06 ;130.000,00;130.000,00;0.00;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701214361
 8787701552887 ;ES ;VILA VELHA ;ULISSES GUIMARAES ;AVENIDA LINHARES, N. 950, Apto 306, BL 05 ;147.000,00;147.000,00;0.00;Apartamento, 0.00 de área total, 47.00 de área privativa, 0.00 de área do terreno, a.serv.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701552887
 8787705689860 ;ES ;VILA VELHA ;NOSSA SENHORA DA PENHA ;RUA HENRIQUE CHAVES, N. SN, Apto 1004, BL 3 GLEBA 02 ;184.000,00;184.000,00;0.00;Apartamento, 0.00 de área total, 43.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705689860
 8555509648781 ;ES ;VILA VELHA ;RESIDENCIAL COQUEIRAL ;RUA RAUL POMPEIA, N. SN, Apto 201A, QD 3 BL 303 ;145.000,00;145.000,00;0.00;Apartamento, 0.00 de área total, 49.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509648781
 8444410907252 ;ES ;VILA VELHA ;ATAIDE ;RUA EMYGDIO FERREIRA SACRAMENTO, N. 117, Apto 403, BL B ;125.999,88;120.000,00;0.00;Apartamento, 0.00 de área total, 54.63 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410907252
 8555530931950 ;ES ;VILA VELHA ;ATAIDE ;AVENIDA TRANSVERSAL, N. SN, Apto 707, LT 01A QD 9 ;251.000,00;201.000,00;0.00;Apartamento, 0.00 de área total, 46.35 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530931950
 10137796 ;ES ;VITORIA ;PRAIA DO SUA ;AVENIDA LEITAO DA SILVA, N. 100, QD 10, LT 96 (PARTE) ;960.712,00;1.640.000,00;41.42;Terreno, 0.00 de área total, 0.00 de área privativa, 418.09 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137796
