N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787709903778 ;ES ;SERRA ;MORADA DE LARANJEIRAS ;RUA DAS GRAUNAS, N. 53, Apto 304, BL 06 VG 214 215 ;190.000,00;190.000,00;0.00;Apartamento, 69.47 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709903778
 8555525937733 ;ES ;SERRA ;ESTANCIA MONAZITICA ;RUA RIO GRANDE DO SUL, N. SN, Apto 407, BL 03 ;125.000,00;125.000,00;0.00;Apartamento, 0.00 de área total, 46.47 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525937733
 8787710898995 ;ES ;SERRA ;OURIMAR ;RUA DOMINEU RODY SANTANA, N. 406, Apto 301, BL 13 VG GARAGEM 196 ;174.000,00;174.000,00;0.00;Apartamento, 61.92 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710898995
 8787715271419 ;ES ;SERRA ;GUARACIABA ;RUA GUSTAVO BARROSO, N. 919, Apto 202, BL 08 CH 291 A ;198.000,00;198.000,00;0.00;Apartamento, 63.56 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715271419
 8444423436091 ;ES ;SERRA ;CONJUNTO JACARAIPE ;RUA C, N. SN, Apto 101, BL 403 MOD D ;243.000,00;243.000,00;0.00;Apartamento, 0.00 de área total, 73.21 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423436091
 8787707341675 ;ES ;SERRA ;MORADA DE LARANJEIRAS ;RUA DOS ROUXINOIS, N. 52, Apto 403, BL 11 ;207.335,00;206.933,00;0.00;Apartamento, 60.41 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707341675
 1444410840699 ;ES ;SERRA ;COLINA DE LARANJEIRAS ;RUA HERMAN STERN, N. 235, Apto 505, TORRE A ;270.000,00;267.000,00;0.00;Apartamento, 92.09 de área total, 47.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410840699
 1444417094704 ;ES ;SERRA ;JOSE DE ANCHIETA ;RUA DOS CARVALHOS, N. SN, QD 6, LT 8,  TIPO ES-2-42A-SL ;306.969,67;294.000,00;0.00;Casa, 125.00 de área total, 125.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417094704
 1787701071686 ;ES ;SERRA ;MORADA DE LARANJEIRAS ;RUA DAS GRAUNAS, N. 53, Apto 104, BL 03 ;242.374,75;227.000,00;0.00;Apartamento, 58.93 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701071686
 8787710584028 ;ES ;SERRA ;BICANGA ;AVENIDA BICANGA, N. 973, Apto 303, BL 07 VG 155 ;167.113,62;155.000,00;0.00;Apartamento, 0.00 de área total, 42.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710584028
 8444417657979 ;ES ;SERRA ;ESTANCIA MONAZITICA ;RUA RIO GRANDE DO SUL, N. 58, Apto 409, BL 05  VAGA DE GARAGEM N 24 ;150.000,00;135.000,00;0.00;Apartamento, 62.53 de área total, 44.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417657979
 8787715609797 ;ES ;SERRA ;GUARACIABA ;RUA GUSTAVO BARROSO, N. 919, Apto 103, BL 09 ;202.859,84;177.000,00;0.00;Apartamento, 62.38 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715609797
 8787705093771 ;ES ;SERRA ;RESIDENCIAL CENTRO DA SERRA ;AVENIDA PAU BRASIL, N. 321, Apto 310, TORRE F ;170.000,00;142.000,00;0.00;Apartamento, 81.51 de área total, 43.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705093771
